"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Tela de cadastro de usuário","5","0","","0"
"0","","0","Perfil de acesso Administrador","5","0","","0"
"0","","0","Tela Inicial","17","0","","0"
"0","","0","Acessar a página de login e testar fluxo de tela de usuários","7","0","","0"
"1","","0","Perfil de acesso Portifólio/Trading","8","0","","0"
"0","","0","Aplicação Base - Tela de usuários","6","0","","0"
"1","","1","Perfil de acesso não logado","0","0","","0"
"0","","1","Armazenamento de evidências","2","0","","0"
"0","","0","Validação de Usuário","3","0","","0"
